Topic,Title,ID,Comments,Likes,Khiem,Brett,Noushin,Label
Trump First Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Impeachment: *INFINITY WAR*,35,0,0,0,0
Trump First Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,We all watched this man violate the law and constitution for 8 years from fast and furious to Benghazi to DACA to the Iranian nuke deal and on and on but obama never committed any crimes right,0,0,0,0,1
Trump First Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Nancy: ""no he was not acquitted and I have my hands over my ears ya ya ya ya ya""",18,0,0,0,0
Trump First Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"""We've seen it all, weve actually seen too much""... 😂😂",0,0,0,0,0
Trump First Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,TRUMP 2020🎉,36,0,0,0,0
Trump First Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,They have that impeachment and censure,0,0,0,0,0
Trump First Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,How about impeaching some of these judges who decide to make their own law instead of interpreting the law. Sickening.,0,1,1,1,1
Trump First Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Didn't Pelosi say that she was going to resign if President Trump was acquitted? Why hasn't she been removed from office??!,79,,0,0,0
Trump First Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Truth be told, I had a hard time listening to Collins with Emily Compagno sitting there. 😜🤤",5,1,0,1,1
Trump First Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"That “Graham investigation”....

Believe it only when you see it.",3,,0,0,0
Trump First Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Make Pelosi and the Evil Democrats actually pay the costs for this fiasco.,54,1,1,1,1
